step	train_loss	val_loss	roc_auc_macro
500	0.053800	0.052645	0.964609
1000	0.048400	0.048125	0.978098
1500	0.048100	0.046779	0.979042
2000	0.043200	0.044819	0.979306
2500	0.044400	0.053608	0.979975
3000	0.040600	0.043576	0.981464
3500	0.045800	0.042798	0.982657
4000	0.042600	0.041963	0.984126
4500	0.038200	0.043687	0.984807
5000	0.038200	0.041644	0.985346
5500	0.038900	0.043532	0.987158
6000	0.039900	0.043240	0.987960
6500	0.039200	0.040625	0.988121
7000	0.036400	0.041054	0.988576
7500	0.034500	0.040338	0.988928
8000	0.034600	0.041000	0.988569
8500	0.031100	0.039296	0.988888
9000	0.032300	0.043388	0.989526
9500	0.029400	0.040160	0.989400
10000	0.031000	0.040527	0.989666
10500	0.030900	0.039203	0.989866
11000	0.029800	0.041340	0.990038
11500	0.030600	0.040185	0.989916
